Matched Sentences,NLI Topic,label
"With me on today's call are Eric Friedrichsen, DISCO'S Chief Executive Officer and Michael Lafair, DISCO'S Chief Financial Officer.",This text is about a strong consumer or increased consumption.,
We are on plan for $6 million of in-year EBITDA improvement.,This text is about a weak consumer or reduced consumption.,
"Joining me today is Kevin Beth, Hub Group's Chief Financial Officer.",This text is about a strong consumer or increased consumption.,
Post-marketing safety profile remains consistent with clinical trial results.,This text is about a weak consumer or reduced consumption.,
"With this setup, we have shorter lines and more clear roles and responsibilities and more efficient decision-making throughout the organization.",This text is about a strong consumer or increased consumption.,
"So here, I update that on the 18 months of openings that have followed since that last update given to the market.",This text is about a strong consumer or increased consumption.,
"And you can see that we, on the bottom right-hand side, stand at a 10.3% allowance to total office loans, excluding owner-occupied loans.",This text is about a strong consumer or increased consumption.,
"And we believe this positions us well, particularly as the REIT market recovers, for a continued outperformance as it relates to total unitholder returns.",This text is about a weak consumer or reduced consumption.,
"Since our inception, we have also delivered gross total returns that are in the top decile in this peer group.",This text is about a weak consumer or reduced consumption.,
"If we look back, the core business grew 16% in 2021 to 2022 and 19% from 2022 to 2023.",This text is about a strong consumer or increased consumption.,
I've been with the business for two years now.,This text is about a weak consumer or reduced consumption.,
"I'm looking forward to talking about the things our team has been focused on, hopefully, in the relatively near future.",This text is about a strong consumer or increased consumption.,
"This model, together with our global reach, has us positioned to win an outsized share of complex mandates, such as our recent win of a multi-year construction project for a key player in the European energy sector.",This text is about a strong consumer or increased consumption.,
It also positions him well to augment the momentum we are building in our customer and merchandising capabilities across our existing organization.,This text is about a strong consumer or increased consumption.,
"Turning to the fleet, performance was strong in the fourth quarter and underscores the meaningful operating leverage of Genco's asset base and the importance of our barbell approach to fleet composition.",This text is about a strong consumer or increased consumption.,
"As Stefan said, demand for our Technology for Life remained high in Q1.",This text is about a strong consumer or increased consumption.,
That is a new era of recovery for digital growth for Centauro.,This text is about a strong consumer or increased consumption.,
"Turning to our fourth quarter results, we achieved record network volume of $2.4 billion in the quarter, up 33% year-over-year, with growth primarily driven by the ramp up of new partnerships in point-of-sale and single family rental.",This text is about a strong consumer or increased consumption.,
"G&A expenses were in line sequentially and compared to the prior year, as we effectively leveraged our growing scale.",This text is about a weak consumer or reduced consumption.,
"We also saw strong demand for AI infrastructure solutions, including test and validation of 400- and 800-gig transceivers and ultra high-speed interconnects in GPU-based compute systems.",This text is about a weak consumer or reduced consumption.,
"Our price realization on coal compared to the API4 price was also 2% lower at 95%, but this was partially offset by higher prices realized in the domestic market, mainly on our Eskom sales.",This text is about a weak consumer or reduced consumption.,
GAAP operating income in Q2 fiscal 2024 was $3 million compared to an operating loss of $0.8 million in Q2 of fiscal 2023.,This text is about a weak consumer or reduced consumption.,
This strategy complements our organic growth strategy in both segments and allows us to enter a new market at a low capital cost.,This text is about a weak consumer or reduced consumption.,
I mean making India among the global players with tremendous opportunities for export.,This text is about a weak consumer or reduced consumption.,
"2023 was a banner year for SNB, delivering robust growth across the board to record levels.",This text is about a strong consumer or increased consumption.,
"The mine is expected to show much improved results on the back of higher grades in the second half of the year, as we complete that stripping.",This text is about a weak consumer or reduced consumption.,
"Third, we further leverage our offline stores.",This text is about a weak consumer or reduced consumption.,
The top row is the week 24 data which we presented at the Euretina conference this fall.,This text is about a weak consumer or reduced consumption.,
"After a strong 2023, I'm confident that we are well-positioned for continued success as we enter 2024.",This text is about a weak consumer or reduced consumption.,
"And as often the case, forward visibility is limited at this point in the year.",This text is about a weak consumer or reduced consumption.,
"Fantasy Westward Journey mobile recently celebrated its anniversary at the historic Daming Palace National Heritage Site Park, Xi'An, the former capital city of Tang Dynasty, the very setting of our game.",This text is about a strong consumer or increased consumption.,
2024 will obviously be a transition year to a more normalized 2025 and 2026.,This text is about a strong consumer or increased consumption.,
"As a conclusion and I would like to emphasize, we maintain a high quality order book for an extended period of time, knowing that the last consecutive 12 months, DEME had a combined realized turnover of €3.7 billion.",This text is about a strong consumer or increased consumption.,
Non-GAAP operating margin increased to 11.1% from 8.3% in the prior year period.,This text is about a weak consumer or reduced consumption.,
"It is comprised of end markets that simply demand best-in-class care and manufacturing as the products built in this segment keep us healthy, safe, and moving ahead.",This text is about a weak consumer or reduced consumption.,
And we look forward to fielding any questions from the group.,This text is about a strong consumer or increased consumption.,
"Global sales off to a strong start, driven by higher-than-expected US performance, in particular.",This text is about a weak consumer or reduced consumption.,
"Customer-related noninterest income was $151 million compared to $150 million in the prior quarter, with higher capital markets fees offset by smaller declines in other categories.",This text is about a strong consumer or increased consumption.,
The current Q1 revenue does not reflect any benefit from political advertising compared to Q1 last year.,This text is about a strong consumer or increased consumption.,
I'll give you further details on the next slide.,This text is about a weak consumer or reduced consumption.,
"Strategically, that is fully in line with our positioning in the wind energy segment.",This text is about a weak consumer or reduced consumption.,
I'm excited to see all the great projects and exciting developments they deliver in coming years.,This text is about a strong consumer or increased consumption.,
"So, if you invest in people, you prefer keeping them.",This text is about a weak consumer or reduced consumption.,
I'm going to take a few minutes to recapitulate or go over some of the data that the Priovant team presented on our call earlier this spring on brepocitinib in non-infectious uveitis because it's an opportunity we think is really exciting.,This text is about a weak consumer or reduced consumption.,
"On the next page, we then move to the balance sheet, and we obviously have a very strong balance sheet, net assets of £43 million.",This text is about a strong consumer or increased consumption.,
Our income from non-transactional services are 60% from our total revenue is similar to the previous year.,This text is about a weak consumer or reduced consumption.,
We believe we can return over time to our historical build times of between four and five months.,This text is about a weak consumer or reduced consumption.,
"Despite this recovery, we continue to see weaker conditions in certain areas of the IT services sector, notably in digital skilling and change enablement services.",This text is about a weak consumer or reduced consumption.,
"We exited December at 91% utilization of our seat capacity globally, including work at home, up from 77% as of June 2023.",This text is about a weak consumer or reduced consumption.,
"Additionally, the guidance reflects the negative impact from the record low snowfall and related shortened season in Australia in the first quarter of fiscal 2025, which is expected to result in a $10 million decline of Resort Reported EBITDA compared to the prior-year period.",This text is about a weak consumer or reduced consumption.,
"Like our farmers around the world, CNH maintained its long-standing commitment to protecting the environment, and we are excited about our customer adoption of our first-to-market innovations that enhance customer productivity, while improving fuel and emission savings.",This text is about a strong consumer or increased consumption.,
The strong gross margins that we're seeing.,This text is about a weak consumer or reduced consumption.,
Let me be clear on that.,This text is about a weak consumer or reduced consumption.,
Adjusted free cash flow was $57 million in the quarter.,This text is about a weak consumer or reduced consumption.,
"They are designed to reach a new audience by partnering with logical, yet unexpected brands.",This text is about a weak consumer or reduced consumption.,
"Regarding the Ford truck issue, we have seen also some fierce competition and some level of slowing in export markets.",This text is about a strong consumer or increased consumption.,
"Adjusted operating profit here reflects some FX, but also that mix of licenses with fewer perp and term licenses and more SaaS being one of the primary factors.",This text is about a weak consumer or reduced consumption.,
"Now, I will pass to , team, and , all.",This text is about a strong consumer or increased consumption.,
Going into the business areas.,This text is about a weak consumer or reduced consumption.,
"On the 10th of April, following the expiration of the required waiting period under the US Hart-Scott-Rodino Antitrust Improvements Act of 1976, we closed the transaction.",This text is about a strong consumer or increased consumption.,
"While we are not prepared to provide financial metrics for the ACCELERATE Growth Strategy at this point, I firmly believe these actions will drive brand-right profitable growth.",This text is about a strong consumer or increased consumption.,
"Now, I'll turn it over to COO, Jeff Klingler, for a look at some of the highlights of the quarter.",This text is about a weak consumer or reduced consumption.,
"On the region side, so geographical aspect, we see that North America has pushed net revenues in the year 2023 leading to higher share of net revenues to 27% at cost of the European markets, where the share went down to 64%.",This text is about a strong consumer or increased consumption.,
"You can find more information on this transaction in a joint press release that was issued by the company and VRC on November 22, 2024.",This text is about a weak consumer or reduced consumption.,
"Thermon is supplying 31 flange heaters and control panels, which will enable the carbon dioxide to be compressed for transportation.",This text is about a weak consumer or reduced consumption.,
"For more information on these risks and uncertainties, please refer to our filings with the Canadian securities regulators.",This text is about a strong consumer or increased consumption.,
"However, there have been other new businesses as well.",This text is about a weak consumer or reduced consumption.,
"Over the past several years, we've made investments in building out new investment platforms and distribution in significant new growth segments that are now coming online and contributing to our growth profile.",This text is about a strong consumer or increased consumption.,
"Here, we see information, some corporate highlights, an important part of our business is to give support to all of our departments.",This text is about a weak consumer or reduced consumption.,
"Matters that Standex management will discuss on today's conference call include predictions, estimates, expectations and other forward-looking statements.",This text is about a strong consumer or increased consumption.,
"We were quite uncertain as to what would this actually lead to in terms of our own performance, and I don't think we could have foreseen the results that we are now seeing in the aftermath.",This text is about a strong consumer or increased consumption.,
"Our TV networks now reach 130 million households and our unique customer base has increased by 51% year-over-year on approximately – to approximately 682,000.",This text is about a weak consumer or reduced consumption.,
"In the book distribution business demonstrable action taken during 2024 has been the closure of the SGEL warehouse, transferring business to a Logista Libros warehouse, obtaining clear synergies and costs for the business.",This text is about a weak consumer or reduced consumption.,
We had to make the necessary adjustments to our product suite that's offered through the bancassurance channels to conform to the new guidelines.,This text is about a strong consumer or increased consumption.,
"Starting in Argentina, Lindero's gold production for the fourth quarter was 29,591 ounces, a significant increase of 41% when compared to the previous quarter.",This text is about a weak consumer or reduced consumption.,
"Turbulence, much of it generated by a concerted campaign supported by incumbent animal protein and pharmaceutical industries, destabilized the slipstream within which we traveled, and we fell from considerable heights.",This text is about a weak consumer or reduced consumption.,
"But nevertheless, we've been able to maintain the cost at the same nominal level throughout the last year.",This text is about a strong consumer or increased consumption.,
"Hong Kong was clearly a stand-out performer in 2023, delivering $1.4 billion of new business profit.",This text is about a weak consumer or reduced consumption.,
"Additionally, we had a $2.3 million adverse impact associated with the recognition of deferred training revenue to both top and bottom line results when comparing to prior year quarter.",This text is about a strong consumer or increased consumption.,
And this is relative to total disposition activity of approximately CAD 325 million.,This text is about a strong consumer or increased consumption.,
"So, we've been developing our business into trade counters and larger customers as well as the traditional independent retailers and fitters that we service for many, many years.",This text is about a weak consumer or reduced consumption.,
"We generated $30.3 million in free cash flow during fiscal 2024, repurchased 2.2 million shares for $24.2 million under our share repurchase program, and ended the year with $141.8 million in cash and investments, a $6.8 million increase year-over-year.",This text is about a weak consumer or reduced consumption.,
"Both dividends are payable on January 31, 2025 to stockholders of record date on December 31, 2024.",This text is about a strong consumer or increased consumption.,
"And three, litigation before the District Court over Oracle's requested recovery of certain of their attorney's fees and costs related to the Rimini II case that is on appeal.",This text is about a strong consumer or increased consumption.,
We will leverage our growing scale and sourcing capabilities to deliver even more Wow product to our customers.,This text is about a strong consumer or increased consumption.,
"If we look on our balance sheets and on the asset side, for the financial assets about NOK 40 million of the of the assets are linked to the investment in the FiiZK group.",This text is about a strong consumer or increased consumption.,
We believe the extended laterals will save on drilling costs and enhance the economics of this new drilling technique even further.,This text is about a strong consumer or increased consumption.,
"So, looking at the sort of progress through the year, I think previous sort of presentation we've had, it's been obviously a lot of interest in terms of where we are in the US.",This text is about a weak consumer or reduced consumption.,
"At this point, I'll turn over the presentation to Nick Warrender, our Vice Chairman and Chief Operations Officer and the Founder and CEO of our wholly-owned subsidiary, Lifted Made.",This text is about a strong consumer or increased consumption.,
"On derivatives, we recorded a gain of $12 million versus a loss of $8.2 million, which is the result of interest rate swaps gains of $9.6 million, which again includes $4.1 million in realized cash gains and gains on FFA and bunker derivatives of $2.5 million.",This text is about a weak consumer or reduced consumption.,
"We added selection including premium and luxury brands, and we delivered at our fastest speeds ever for Prime members.",This text is about a weak consumer or reduced consumption.,
"This is to be able to capture the spikes in the Capesize sector as described in the right graph, where you can see over time, holds the highest income potential compared to the smaller sizes.",This text is about a strong consumer or increased consumption.,
"But going through OCTG, we picked up some great relationships to build our supply chain, to strengthen our opportunities in the future.",This text is about a weak consumer or reduced consumption.,
Patrick will provide a more detailed commercial strategy update in a moment.,This text is about a strong consumer or increased consumption.,
"In terms of cadence for the rest of the year, we continue to anticipate revenue and adjusted EBITDA to increase sequentially in the second and third quarters.",This text is about a strong consumer or increased consumption.,
"And as the group, we reached 10% in local currency growth.",This text is about a weak consumer or reduced consumption.,
"Elia Group's net profit rose by 9.6%, reaching €218.8 million.",This text is about a strong consumer or increased consumption.,
Both businesses delivered year-over-year GMS growth with Reverb continuing to outpace the musical instruments industry and Depop growing faster in the US than their comparable resale players.,This text is about a strong consumer or increased consumption.,
Our capital structure remains strong with ample liquidity and no material debt maturities until 2026.,This text is about a weak consumer or reduced consumption.,
We'll talk about our refined commercial strategy for the second half to improve pricing realizations while meeting shipment guidance.,This text is about a strong consumer or increased consumption.,
"Developers can simply ask Amazon Q to implement an application feature, such as asking it to create an add to favorites' feature in a social sharing app, and the agent will analyze their existing application code and generate a step-by-step implementation plan, including code changes across multiple files and suggested new functions.",This text is about a weak consumer or reduced consumption.,
"Croda are professionals at this, and we have to trust their professionalism and knowing what they're doing.",This text is about a strong consumer or increased consumption.,
"At the same time, we are also looking at driving efficiencies, rationalizing the number of applications by almost half.",This text is about a strong consumer or increased consumption.,
Magalu is a leader in higher ticket amounts and brand products.,This text is about a weak consumer or reduced consumption.,
We believe that our revised store base will enable us to generate higher returns from our turnaround efforts and support improved financial performance in the future.,This text is about a weak consumer or reduced consumption.,
The Play MPE is the first step in promotion.,This text is about a strong consumer or increased consumption.,
The reconciliations themselves are also included in our most recent investor presentation posted in the Investor Relations section of our website at investor.asuresoftware.com.,This text is about a strong consumer or increased consumption.,
"The achievement of our debt target in Q1 of this year marked a pivotal change in our return of capital framework, and Q2 2024 was the first full quarter executing under our revised ROC parameters.",This text is about a weak consumer or reduced consumption.,
"And if you look at the rest of the year, it's looking to end above 1.8, which is very positive because every person, in addition that we have onboard, is a personnel expense.",This text is about a weak consumer or reduced consumption.,
Most companies care deeply about the privacy of the data in their AI applications and the reliability of their training and production apps.,This text is about a weak consumer or reduced consumption.,
"For illustration purposes and as we're often compared to our Swedish peers, we could have targeted return levels of 15% to 18% with a similar regulatory regime.",This text is about a weak consumer or reduced consumption.,
But that increases up to 50% in other ethnic diversities that we'll see.,This text is about a strong consumer or increased consumption.,
 for your time and attention.,This text is about a strong consumer or increased consumption.,
The base structure show has been mentioned.,This text is about a weak consumer or reduced consumption.,
"It is also seeing the size of each facility request, which is now at 60 megawatts to 90 megawatts, 2 to 3 times more than the usual 30 megawatts, which stems directly from new computing needs like AI.",This text is about a strong consumer or increased consumption.,
"As disclosed in our 2024 guidance, we expect $13.5 million of operating expenses in 2024, which includes operating expenses at Nautilus.",This text is about a strong consumer or increased consumption.,
"Now I'd like to share a few comments on how we continue to evolve our culture of Novanta We continue to focus on improving our employee engagement scores, and we have invested heavily into leadership development initiatives and employee training on the Novanta Growth System.",This text is about a weak consumer or reduced consumption.,
This initiative is focused on identifying and securing businesses with a strategic fit to our portfolio.,This text is about a strong consumer or increased consumption.,
"During the call, we will make forward-looking statements which are subject to risks and uncertainties, many of which are beyond our control.",This text is about a weak consumer or reduced consumption.,
"Our return on net asset value continues to increase and was up by 70 basis points to 12.6%, driven by both earnings growth and capital and balance sheet optimization.",This text is about a strong consumer or increased consumption.,
"Our capital allocation strategy flexes by prioritizing revenue growth, diversification and regenerative pipeline.",This text is about a weak consumer or reduced consumption.,
"Also, a reminder that PyroGenesis follows Canadian Generally Accepted Accounting Principles or GAAP, where revenue is accrued not on sales, but on a model that reflects a percentage of the work completed for contracts during the period, which can vary based on both the nature of the projects in-house and on a client's own scheduling and logistical decisions, both of which can impact production milestones and the company's ability to book revenue.",This text is about a weak consumer or reduced consumption.,
"First, recognition of a significant C-band income of €2.7 billion before tax of about €500 million.",This text is about a weak consumer or reduced consumption.,
"And again, this proprietary technology, which is absolutely tailored to the specific customer types, but shares common functionality behind the scene is one of the major reasons why both of our corporate brands are winning.",This text is about a strong consumer or increased consumption.,
"However, production was lower quarter-on-quarter as one of the previously drilled producer wells, J-69 underperformed expectations.",This text is about a weak consumer or reduced consumption.,
"Finally, just as a side note we've commissioned our AlphaLab, as we call it at the Seneffe site.",This text is about a strong consumer or increased consumption.,
The Asia Pacific Group reported a local currency operating profit decline of 12%.,This text is about a strong consumer or increased consumption.,
We are rebuilding back one floorplate.,This text is about a weak consumer or reduced consumption.,
Our revenue guidance for fiscal 2025 absorbs the headwinds of approximately $5 million to $7 million related to this.,This text is about a weak consumer or reduced consumption.,
"Looking ahead, we anticipate that that cost-bearing deposit would remain the primary source of funding growth nevertheless, our bank's liquidity position remains strong.",This text is about a weak consumer or reduced consumption.,
"For those who have not heard about BerGenBio before, we're all about AXL inhibition.",This text is about a weak consumer or reduced consumption.,
We expect this will drive improved gross margin during the third and fourth quarter as we converted inventory into revenues and cash flow.,This text is about a weak consumer or reduced consumption.,
"In Skin Care, the organic net sales decline was largely due to the pressures in Asia Pacific and in our Asia travel retail business, which more than offset the growth we experienced.",This text is about a weak consumer or reduced consumption.,
"We also grew our joinery and solid work surface categories, as I mentioned earlier.",This text is about a strong consumer or increased consumption.,
"Next, I'd like to provide you with a progress report on our Blue Creek growth project, On the surface infrastructure components, we completed the construction of the bathhouse, warehouse and critical electrical substations and made noteworthy progress on the construction of the preparation plant.",This text is about a weak consumer or reduced consumption.,
The cash flow for the year 2023.,This text is about a strong consumer or increased consumption.,
"In EMEA, our leadership additions continue to drive improved and more consistent results.",This text is about a weak consumer or reduced consumption.,
I'll now turn it over – pass over to Evan to discuss the financial metrics and capital management strategies for the group.,This text is about a weak consumer or reduced consumption.,
"Bruce Pittet, our Chief Operating Officer, could not join us today due to personal reasons and I will be covering the operations portions of the call.",This text is about a weak consumer or reduced consumption.,
"Before Comtech, I served as CEO and President of iDirect Government for 20 years, a company delivering secure satellite-based voice, video, and data applications with anytime, and anywhere connectivity in the air, at sea, and on land.",This text is about a weak consumer or reduced consumption.,
We delivered three consecutive quarters of non-GAAP net income and operating cash flow.,This text is about a weak consumer or reduced consumption.,
"Turning to asset quality, we recorded a credit loss provision of $2.5 million.",This text is about a strong consumer or increased consumption.,
"In the US, we have Mayo clinic, Dana-Farber, Washington University and Johns Hopkins, for instance, Baylor College.",This text is about a strong consumer or increased consumption.,
"Instead, 2024 started well with an organic growth of 7.5%.",This text is about a strong consumer or increased consumption.,
"TTF forward price is currently trading at approximately CAD 17 for 2025, and we have approximately 44% of our European natural gas hedged at an average floor price of CAD 17 for 2025.",This text is about a strong consumer or increased consumption.,
"This represents an improvement over our December margin of 2.3%, but is 20 basis points below the half-one 2023 margin of 2.6%, which benefited from a large corporate risk deal as Iain mentioned.",This text is about a strong consumer or increased consumption.,
"We continue to leverage Hubspot technology to service agents, and we've closed over 1 million agent tickets worldwide in Q2.",This text is about a weak consumer or reduced consumption.,
"As I mentioned, each of the business put up a solid operating performance this quarter.",This text is about a strong consumer or increased consumption.,
"So to summarize, in the face of strong negative market sentiment, BXP continues to display resilience and stability in occupancy, FFO and dividend at level.",This text is about a strong consumer or increased consumption.,
", Tom, and , everyone, for joining us on today's call.",This text is about a strong consumer or increased consumption.,
"Additionally, comparisons will be made against the same period last year, unless otherwise noted.",This text is about a weak consumer or reduced consumption.,
Total impact of this is around €80 million in 2023 and has a low or negative margin.,This text is about a weak consumer or reduced consumption.,
"In addition, we are committed to a holistic suite of wealth planning solutions to empower our advisors to serve the growing needs of their clients even more effectively.",This text is about a strong consumer or increased consumption.,
"The team has done an admirable job of juggling ingredient supply and manufacturing availability, essentially playing a game of whack-a-mole as they move from issue-to-issue.",This text is about a strong consumer or increased consumption.,
These forward-looking statements are intended to qualify for the Safe Harbor from liability established by the Private Securities Litigation Reform Act of 1995.,This text is about a strong consumer or increased consumption.,
"As compared to last year, gross margin in the quarter benefited from higher mix of UGG full-price selling, freight savings, select pricing action and favorable brand and product mix, favorable channel mix with DTC continuing to grow faster than wholesale, and favorable foreign currency exchange rates.",This text is about a strong consumer or increased consumption.,
Sales and marketing expenses increased by $1.8 million to $25 million.,This text is about a weak consumer or reduced consumption.,
"As well as expanding further in Romania, we are also signing up new retailers in Mexico for this new distribution channel.",This text is about a strong consumer or increased consumption.,
"We're pleased with the performance so far, with strong sell through metrics and consumer reaction.",This text is about a strong consumer or increased consumption.,
"With that, Tony will provide some closing remarks before we open the call to Q&A.",This text is about a strong consumer or increased consumption.,
We have seen this movie play out repeatedly in our industry.,This text is about a strong consumer or increased consumption.,
"We're expecting several traffic peaks: one, before the games, with the arrival of fans, sports delegations and media from all over the world converging on France, and in Paris in particular; and two, toward the end of the games when fans, athletes and journalists will all be leaving over a very short period of time.",This text is about a strong consumer or increased consumption.,
"NBK's stable deposit reflects a sustained focus on the deposit gathering aspects of our business, leveraging our long-standing ability to capitalize on the group's strong brand, customer appeal and credit ratings.",This text is about a weak consumer or reduced consumption.,
"It can be found under the heading, Financials, Quarterly results in the Investors section of the RSI website at rushstreetinteractive.com.",This text is about a weak consumer or reduced consumption.,
"These achievements are a testament to the diligence and determination of our sales, account management and operations teams.",This text is about a weak consumer or reduced consumption.,
"You will have noticed a drop in our group coverage ratio, and this is largely explained by the fact that commercial real estate defaults usually require lower provisioning due to the collateral and guarantee we have.",This text is about a strong consumer or increased consumption.,
"As we come to the end of this capital intensive phase of the company's evolution with our key projects nearing completion, I want to reinforce an important message I made earlier in the year.",This text is about a strong consumer or increased consumption.,
"Now, it used to be a smaller proportion on change.",This text is about a strong consumer or increased consumption.,
"In fact, the last two quarters have been record quarters for orders intake driven by increased demand for both large scale and small scale OPUS columns.",This text is about a strong consumer or increased consumption.,
"As I mentioned, we have a strong performance on our financial targets.",This text is about a strong consumer or increased consumption.,
"And in online itself, we have 40% penetration of marketplace.",This text is about a weak consumer or reduced consumption.,
"As we move into the second half of the year, we remain committed to our strategy and look forward to delivering on our updated guidance.",This text is about a weak consumer or reduced consumption.,
"For the full year, our insurance cost ratio was 84.3%, slightly lower than our latest guidance range for the year of 84.5% to 85.5%.",This text is about a strong consumer or increased consumption.,
We are evolving into more of a platform services company offering a suite of highly developed assets and skills increasingly in demand by other companies that see these opportunities to leverage our InfuSystem as a partner.,This text is about a strong consumer or increased consumption.,
"As I previously mentioned, our pipeline continues to fill with qualified leads and we're starting to rebuild our backlog.",This text is about a strong consumer or increased consumption.,
We returned $22 million of dividends to our preferred and common shareholders out of excess cash flow.,This text is about a strong consumer or increased consumption.,
"Our cost control across both goods for resale and operating costs was strong, delivering around £50 million of savings against our full year target of £30 million.",This text is about a weak consumer or reduced consumption.,
"We successfully achieved the profitable year one in Chennai, the strong effort by the local team.",This text is about a weak consumer or reduced consumption.,
China is a solid example that these elements are not the real constraints.,This text is about a weak consumer or reduced consumption.,
"We disclaim any obligation to update forward-looking statements in the future, even if our estimates change.",This text is about a weak consumer or reduced consumption.,
"You get the operating model working and you So, first of all, with our guests.",This text is about a weak consumer or reduced consumption.,
We will be evaluating the returns on these various initiatives and will then quickly roll them out to the stores we believe will benefit from these additional measures.,This text is about a strong consumer or increased consumption.,
"During the quarter, our operating leverage was evident as Capesize rates spiked to multiyear highs in December, enabling us to increase Q4 TCE by 44% and achieve our highest TCE of the year at over $17,000 per day.",This text is about a weak consumer or reduced consumption.,
"As a good friend of mine in the industry has said to me, grow what is slow.",This text is about a strong consumer or increased consumption.,
"At Knight-Swift, we have had several successful large acquisitions and we remain opportunistic with acting on M&A opportunities that drive value for our organization.",This text is about a strong consumer or increased consumption.,
Book value per share increased 13% in the fourth quarter due to our profitability and the interest rate rally that reduced after-tax unrealized losses for fixed income securities.,This text is about a strong consumer or increased consumption.,
"But we see an increase of 1.7% of unit revenues at the passenger business, despite the capacity growth of almost 4%.",This text is about a strong consumer or increased consumption.,
"We can today reduce emissions further, both by developing the charging grid along the route, but also by blending in biogas.",This text is about a strong consumer or increased consumption.,
"So, it's not so that is some sort of general decrease in the margin.",This text is about a weak consumer or reduced consumption.,
This gives us and shows you where we have to keep bottleneck our order backlog and to get down the throughput times.,This text is about a strong consumer or increased consumption.,
"While in the interim we have been costly, slowed down on the growth that missed global demand challenging.",This text is about a weak consumer or reduced consumption.,
We see similar opportunity to use OBN in a 40 application for mid-life fields like Jubilee.,This text is about a strong consumer or increased consumption.,
"In 2020, we got to 93%.",This text is about a weak consumer or reduced consumption.,
"Page 15, this is a focus on net provision.",This text is about a weak consumer or reduced consumption.,
"So, direct sourcing – and I spend years in China, visiting factories.",This text is about a strong consumer or increased consumption.,
We will provide details on the event later this week.,This text is about a weak consumer or reduced consumption.,
Capital expenditures were $34.8 million in the fourth quarter.,This text is about a strong consumer or increased consumption.,
"But despite the tougher trading conditions, our cash generation of ZAR 4.8 billion resulted in a net cash position of ZAR 9.8 billion, setting a solid foundation to execute on our growth strategy.",This text is about a strong consumer or increased consumption.,
Adjusted EBITDA margins declined 10.5 percentage points relative to the same period last year.,This text is about a strong consumer or increased consumption.,
And Jay will begin with a review of recent corporate updates and discuss the ongoing clinical trials for EYP-1901.,This text is about a weak consumer or reduced consumption.,
 very much for your time.,This text is about a weak consumer or reduced consumption.,
"What that means is that in any more heightened regulatory environment, companies are going to turn to us more than others, in my opinion.",This text is about a strong consumer or increased consumption.,
So you can see our overall growth assumptions for the near-term and in the future and in terms of what we're seeing.,This text is about a strong consumer or increased consumption.,
Our weighted average lease term on leases signed this past quarter was also notable at 11.6 years.,This text is about a strong consumer or increased consumption.,
"To summarize our portfolio activities for the first quarter, new originations totaled $33 million, which were offset by $11 million in scheduled principal payments and $20 million in principal prepayments and partial paydowns.",This text is about a weak consumer or reduced consumption.,
So presentation is finish and now we are ready to take any questions.,This text is about a weak consumer or reduced consumption.,
"Starting with net sales, for 2025, we expect net sales of approximately $8.4 billion to $8.6 billion.",This text is about a strong consumer or increased consumption.,
"Outside of our tech-driven markets, we continue to see RevPAR growth at six of our top seven markets, with those markets being Dallas, Washington, DC, LA, Greater New York, Austin, and San Diego.",This text is about a weak consumer or reduced consumption.,
David will begin with prepared remarks followed by Craig.,This text is about a strong consumer or increased consumption.,
"This business tends to fly under the radar of investors and analysts, but its importance to our model is certainly noteworthy.",This text is about a strong consumer or increased consumption.,
"Our planning assumes a positive free operating cash flow in Q4, with an unchanged guidance for fiscal year 2024 of minus €100 million to plus €100 million.",This text is about a strong consumer or increased consumption.,
"Lastly, cultural improvement is about ensuring that DISCO is an enjoyable and rewarding place to work.",This text is about a weak consumer or reduced consumption.,
"We have a seasonal pattern with a strong Q1 and a stronger finish in Q4, but with a slower Q2 due to the seasonal pattern.",This text is about a strong consumer or increased consumption.,
We appreciate you joining us today for Piedmont's First Quarter 2024 Earnings Conference Call.,This text is about a strong consumer or increased consumption.,
"Last week, the first of our vehicles arrived in Saudi Arabia for Red Sea Global, the inspiring development illustrating the Crown Prince's Vision 2030 goal to responsibly diversify its economy in an ecofriendly way.",This text is about a strong consumer or increased consumption.,
"However, by replacing loss-making restaurants with higher returning hotel rooms, together with a strong commercial program, we will increase our market share and deliver increased profits, margins and returns.",This text is about a strong consumer or increased consumption.,
"Our consolidated results this quarter include a 10% drop in sales to $1.64 billion, largely driven by a 9% reduction in selling prices, while unit sales declined by just 1%.",This text is about a strong consumer or increased consumption.,
"In Maryland, we are continuing to grow market share overall and are especially proud of our market share growth in vapes after discussing throughout the course of this year that we believed we had a strong opportunity to carve-out a leading position in manufactured products.",This text is about a strong consumer or increased consumption.,
AWAC has continued to improve its ESG performance despite the financial challenges faced during 2023.,This text is about a strong consumer or increased consumption.,
Our permanent focus on customer-centric innovation is driving the increase relevance that mobile app gained as the preferred channel of the clients for their daily transactions.,This text is about a weak consumer or reduced consumption.,
"Excluding this one-time non-recurring expense, MoneyLion would have generated breakeven net income for Q4 2023.",This text is about a weak consumer or reduced consumption.,
"For 400 beds at Max Smart, this project is on track.",This text is about a weak consumer or reduced consumption.,
We raised our quarterly dividend again by 7% and we're active in executing our $2 billion share repurchase program that was announced last October.,This text is about a strong consumer or increased consumption.,
"2023 Industrial revenue declined 22% year-over-year to $71 million, representing 34% of total revenue.",This text is about a strong consumer or increased consumption.,
"Over to the CEO, Tomasz Bardziłowski.",This text is about a strong consumer or increased consumption.,
